Time, Aileron Cmd, Elevator Cmd, Rudder Cmd, Flap Cmd, Left Aileron Pos, Right Aileron Pos, Elevator Pos, Rudder Pos, Flap Pos, P, Q, R, Pdot, Qdot, Rdot, QBar, Vtotal, UBody, VBody, WBody, UAero, VAero, WAero, Vn, Ve, Vd, Drag, Side, Lift, L/D, Xforce, Yforce, Zforce, xGravity, yGravity, zGravity, xCoriolis, yCoriolis, zCoriolis, xCentrifugal, yCentrifugal, zCentrifugal, L, M, N, Altitude, Phi, Tht, Psi, Alpha, Beta, Latitude (Deg), Longitude (Deg), Distance AGL, Runway Radius, Pitch Trim Sum, Elevator Control, Roll Trim Sum, Left Aileron Control, Right Aileron Control, Rudder Command Sum, Rudder Control, Flaps Control, Gear Control, Speedbrake Control
0, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0 , 0 , 0, 0 , 0 , 0, 0, 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -0 , 0 , -0, 0, 0 , 0 , 109659, 0 , 0 , 32.1148, 0 , 0 , 0, 0 , 0 , -0.110665, 0 , 0 , 0, 10, 0 , -0 , 0.785398, 0, 0, 47, 122, 10, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
0.0916667, 0, 0, 0, 0, 0, -0, 0, 0, 0, 1.96019e-31 , -6.94747e-06 , -9.83781e-32, -1.89474e-29 , -0.000198396 , 9.50538e-30, 0.0122539, 3.21098, 0.000227075 , 3.32087e-25 , 3.21098, 0.000227075 , 3.32087e-25 , 3.21098, 0.000121857 , 0.000121857 , 2.94348, -48.7595 , -3.56699e-24 , -22.2564, 0.456453, 22.2639 , -9.06846e-24 , 109610, 0 , 0 , 32.1148, 0 , 0.000265444 , 0, 0 , 0 , -0.110665, -6.94214e-23 , -473.277 , 5.67176e-23, 9.85282, 0 , -1.38719e-07 , 0.785398, 1.57073, 1.03422e-25, 47, 122, 9.85282, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
0.191667, 0, 0, 0, 0, 0, -0, 0, 0, 0, 1.51921e-28 , -5.87175e-05 , -7.62516e-29, 3.33298e-27 , -0.000858162 , -1.67366e-27, 0.0489664, 6.41871, 0.00195517 , 3.53381e-25 , 6.41871, 0.00195517 , 3.53381e-25 , 6.41871, 0.00120294 , 0.00120294 , 6.1516, -212.971 , 6.28201e-22 , -97.211, 0.456453, 97.3945 , 1.16122e-17 , 109446, 0 , 0 , 32.1148, 0 , 0.000583807 , 0, 0 , 0 , -0.110665, 1.22118e-20 , -2047.16 , -9.98656e-21, 9.38466, 0 , -2.6443e-06 , 0.785398, 1.57049, 5.50548e-26, 47, 122, 9.38466, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
0.291667, 0, 0, 0, 0, 0, -0, 0, 0, 0, -2.54935e-22 , 0.0397156 , 1.82916e-19, -6.89038e-21 , -0.139214 , 3.65854e-18, 0.000555659, 0.683754, -0.178852 , 2.74537e-17 , 0.659949, -0.178852 , 2.74537e-17 , 0.659949, -0.11947 , -0.11947 , 0.801848, -3.77919 , -1.81612e-16 , -1.72502, 0.456453, -3222.77 , -1.36376e-11 , -57967, 0 , 0 , 32.1148, 0 , 8.60242e-05 , 0, 0 , 0 , -0.110654, -2.93155e-15 , -332098 , 2.18302e-11, 9.02617, -3.25262e-19 , 0.00253286 , 0.785398, 1.83545, 4.01514e-17, 47, 122, 9.02617, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
0.391667, 0, 0, 0, 0, 0, -0, 0, 0, 0, 5.55946e-18 , 0.0280484 , 9.77722e-19, 6.03687e-16 , -0.10225 , 7.86534e-17, 7.95082e-05, 0.258644, -0.254072 , -6.87446e-16 , 0.0484174, -0.254072 , -6.87446e-16 , 0.0484174, -0.175439 , -0.175439 , 0.0657521, -0.370773 , 9.67941e-17 , -0.16924, 0.456453, -2285.52 , -2.39335e-10 , -6498.99, 0 , 0 , 32.1148, 0 , -9.82292e-06 , 0, 0 , 0 , -0.110648, 2.21189e-09 , -243920 , 4.69297e-10, 8.99815, 4.33689e-19 , 0.00593581 , 0.785398, 2.95328, -2.65789e-15, 47, 122, 8.99815, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
0.491667, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00153269 , 0.0198013 , -0.000169248, -0.183609 , -0.0786169 , -0.0236281, 7.6109e-05, 0.253054, -0.204865 , 0.147339 , -0.0189286, -0.204865 , 0.147339 , -0.0189286, -0.128814 , -0.168728 , -0.0159402, -0.2596 , 0.0219877 , 0.122365, -0.471359, 2208 , 71936.3 , -505.646, 0 , 0 , 32.1148, 0 , -5.82754e-06 , 0, 0 , 0 , -0.110639, -672724 , -187542 , -140986, 8.99747, 5.94096e-05 , 0.00834931 , 0.785406, -3.04946, 0.621482, 47, 122, 8.99747, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
0.591667, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.00368884 , 0.0119558 , 0.000328806, 0.185005 , -0.0774558 , 0.0242765, 0.000112509, 0.307674, -0.140682 , -0.273062 , -0.0175726, -0.140682 , -0.273062 , -0.0175726, -0.0382467 , -0.1685 , -0.0167943, -0.204975 , 0.0615011 , 0.0813781, -0.397015, 2184.63 , -74147.3 , 287.921, 0 , 0 , 32.1148, 0 , -2.11341e-05 , 0, 0 , 0 , -0.110662, 677850 , -184773 , 144821, 8.99931, -0.000266484 , 0.00996876 , 0.785358, -3.01733, -1.0919, 47, 122, 8.99931, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
0.691667, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00269911 , 0.00414836 , -0.000283489, -0.183515 , -0.0768292 , -0.023788, 7.6468e-05, 0.253651, -0.0768522 , 0.241657 , -0.00586715, -0.0768522 , 0.241657 , -0.00586715, -0.103884 , -0.0124256 , -0.00601887, -0.0785162 , -0.0266523 , 0.0296557, -0.377702, 2180.05 , 72519.8 , 431.658, 0 , 0 , 32.1148, 0 , 2.44025e-06 , 0, 0 , 0 , -0.11065, -672384 , -183278 , -141934, 9.00044, 0.00020806 , 0.0108054 , 0.785415, -3.0654, 1.26205, 47, 122, 9.00044, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
0.791667, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.00332736 , -0.0034198 , 0.000317073, 0.177077 , -0.0729716 , 0.0233018, 8.47102e-05, 0.266971, -0.0130988 , -0.266537 , 0.00771916, -0.0130988 , -0.266537 , 0.00771916, 0.0525796 , -0.0785275 , 0.00683764, -0.0847067 , 0.0446441 , -0.0230633, 0.272273, 2179.42 , -71226.4 , 450.009, 0 , 0 , 32.1148, 0 , -8.7508e-06 , 0, 0 , 0 , -0.110671, 648794 , -174076 , 139046, 9.00035, -0.0001829 , 0.0108686 , 0.785362, 2.60908, -1.51381, 47, 122, 9.00035, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
0.891667, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00263126 , -0.00610684 , -0.000226676, -0.195398 , -0.0768226 , -0.0250739, 4.32804e-05, 0.190828, 0.050987 , 0.183401 , 0.0134076, 0.050987 , 0.183401 , 0.0134076, 0.0344048 , 0.0303428 , 0.0124065, -0.000924236 , 0 , -0.00197772, 2.13984, 2186.55 , 76324.3 , 213.393, 0 , 0 , 32.1148, 0 , 1.9515e-05 , 0, 0 , 0 , -0.110654, -715921 , -183262 , -149620, 8.99925, 0.000287154 , 0.0104898 , 0.785422, 0.25714, 1.29088, 47, 122, 8.99925, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
