Time, P, Q, R, Pdot, Qdot, Rdot, QBar, Vtotal, UBody, VBody, WBody, UAero, VAero, WAero, Vn, Ve, Vd, Drag, Side, Lift, L/D, Xforce, Yforce, Zforce, Altitude, Phi, Tht, Psi, Alpha, Beta, Latitude (Deg), Longitude (Deg), Distance AGL, Runway Radius
0, 0 , 0 , 0, 0 , 2.24949e-32 , -4.12919e-32, 0.0629882, 23976.6100711, 23976.6100711 , 0 , 0, 23976.6100711 , 0 , 0, 0.0054377728042 , 23976.6100711 , 0, -6.29881762426e-06 , 0 , 0, 0, -6.29881762426e-06 , 0 , 0, 918720, 0 , 0 , 1.5707961, 0, 0, 28.5999961137, -80.4999890614, 918720, 20925650
0.991666, 3.27022e-26 , 3.71833e-33 , 6.7812e-33, -8.65955e-26 , -8.39705e-33 , -2.05689e-32, 0.0629882, 23976.6102056, 23976.5956984 , 1.71787249841 , 26.3194644376, 23976.5956984 , 1.71787249841 , 26.3194644376, -15.9270173094 , 23976.6049144 , 0.00248010309754, -6.29881769426e-06 , 0 , 0, 0, -6.29881394638e-06 , -4.47535923148e-10 , -6.85668219506e-09, 918720.108414, -3.62561835319e-08 , 0.00109761006916 , 1.57139453609, 0.0628944015822, 0.00410511927988, 28.5999750765, -80.4283607776, 918720.108414, 20925650
1.99167, 4.33718e-26 , 4.25502e-33 , 1.02427e-32, -8.65955e-26 , -8.35854e-33 , -2.0646e-32, 0.0629882, 23976.6103757, 23976.552347 , 3.43574071408 , 52.6388969933, 23976.552347 , 3.43574071408 , 52.6388969933, -31.9933182944 , 23976.5890289 , 0.00498061085829, -6.29881778346e-06 , 0 , 0, 0, -6.29880266571e-06 , -8.98831544703e-10 , -1.37709753711e-08, 918720.214327, -1.51154010723e-07 , 0.00219522013449 , 1.5719929707, 0.12578880284, 0.00821022828832, 28.5999118988, -80.3567325545, 918720.214327, 20925650
2.99167, 3.64867e-26 , 9.49804e-34 , 1.34398e-32, 2.75296e-25 , 8.39705e-33 , 9.90698e-32, 0.0629882, 23976.6105814, 23976.4800169 , 5.15360025543 , 78.9582659736, 23976.4800169 , 5.15360025543 , 78.9582659736, -48.0595379588 , 23976.5624134 , 0.00748067689004, -6.29881789137e-06 , 0 , 0, 0, -6.29878378151e-06 , -1.35012490547e-09 , -2.06852520435e-08, 918720.31774, -3.44694032369e-07 , 0.0032928301921 , 1.57259140235, 0.188683204513, 0.0123153165338, 28.5998065808, -80.2851044529, 918720.31774, 20925650
3.99167, 2.31769e-26 , -9.22905e-33 , 2.65746e-32, -7.86791e-26 , -7.29927e-32 , 1.0115e-31, 0.0629882, 23976.6108226, 23976.3787083 , 6.8714467309 , 105.277539685, 23976.3787083 , 6.8714467309 , 105.277539685, -64.1256353119 , 23976.5250681 , 0.0099802978209, -6.29881801798e-06 , 0 , 0, 0, -6.29875729378e-06 , -1.80141485376e-09 , -2.7599503917e-08, 918720.418653, -6.16877166749e-07 , 0.00439044023812 , 1.57318982955, 0.251577607338, 0.0164203735247, 28.5996591227, -80.2134765336, 918720.418653, 20925650
4.99166, 1.21694e-26 , -3.97929e-33 , 1.23664e-32, -7.91638e-27 , 1.9606e-32 , -3.9289e-32, 0.0629882, 23976.6110995, 23976.2484212 , 8.58927574897 , 131.596686435, 23976.2484212 , 8.58927574897 , 131.596686435, -80.1915693641 , 23976.4769933 , 0.0124794702795, -6.2988181633e-06 , 0 , 0, 0, -6.29872320257e-06 , -2.25270023789e-09 , -3.45137226963e-08, 918720.517067, -9.67704699645e-07 , 0.00548805026866 , 1.5737882508, 0.314472012053, 0.0205253887697, 28.5994695249, -80.1418488574, 918720.517067, 20925650
5.99166, 2.02258e-26 , -5.5929e-33 , 1.86789e-32, 8.64339e-26 , -2.53838e-32 , 8.25068e-32, 0.0629882, 23976.611412, 23976.0891558 , 10.3070829181 , 157.915674529, 23976.0891558 , 10.3070829181 , 157.915674529, -96.2572991275 , 23976.4181896 , 0.0149781908955, -6.29881832732e-06 , 0 , 0, 0, -6.29868150791e-06 , -2.70397990622e-09 , -4.14279000863e-08, 918720.612981, -1.39717828435e-06 , 0.00658566027985 , 1.57438666463, 0.377366419397, 0.0246303517774, 28.599237788, -80.0702214849, 918720.612981, 20925650
6.99166, 2.20676e-26 , -4.47425e-33 , 1.73918e-32, 1.80946e-25 , 8.35854e-33 , 5.98579e-32, 0.0629882, 23976.61176, 23975.9009122 , 12.0248638469 , 184.234472276, 23975.9009122 , 12.0248638469 , 184.234472276, -112.322783616 , 23976.3486573 , 0.0174764562983, -6.29881851003e-06 , 0 , 0, 0, -6.29863220986e-06 , -3.15525270706e-09 , -4.83420277917e-08, 918720.706398, -1.9052999417e-06 , 0.00768327026781 , 1.57498506954, 0.440260830109, 0.0287352520565, 28.5989639125, -79.9985944771, 918720.706398, 20925650
7.99166, -1.00436e-26 , -8.16658e-33 , 1.08218e-32, -7.88407e-26 , -6.17068e-32 , 8.04268e-32, 0.0629882, 23976.6121437, 23975.6836908 , 13.7426141439 , 210.553047982, 23975.6836908 , 13.7426141439 , 210.553047982, -128.387981847 , 23976.2683972 , 0.019974263119, -6.29881871145e-06 , 0 , 0, 0, -6.29857530847e-06 , -3.6065174888e-09 , -5.52560975175e-08, 918720.797316, -2.49207206009e-06 , 0.00878088022865 , 1.57558346404, 0.503155244925, 0.0328400791158, 28.598647899, -79.9269678945, 918720.797316, 20925650
8.99166, -1.14101e-26 , 6.24964e-34 , -5.87537e-33, -7.75482e-27 , 5.33483e-32 , -1.01073e-31, 0.0629882, 23976.6125629, 23975.4374918 , 15.4603294178 , 236.871369954, 23975.4374918 , 15.4603294178 , 236.871369954, -144.452852839 , 23976.1774099 , 0.0224716079883, -6.29881893157e-06 , 0 , 0, 0, -6.29851080381e-06 , -4.05777309978e-09 , -6.21701009685e-08, 918720.885737, -3.15749739552e-06 , 0.0098784901585 , 1.57618184666, 0.566049664584, 0.0369448224644, 28.5982897485, -79.855341798, 918720.885737, 20925650
