Time, P, Q, R, Pdot, Qdot, Rdot, QBar, Vtotal, UBody, VBody, WBody, UAero, VAero, WAero, Vn, Ve, Vd, Drag, Side, Lift, L/D, Xforce, Yforce, Zforce, xGravity, yGravity, zGravity, xCoriolis, yCoriolis, zCoriolis, xCentrifugal, yCentrifugal, zCentrifugal, L, M, N, Ixx, Ixy, Ixz, Iyx, Iyy, Iyz, Izx, Izy, Izz, Mass, Xcg, Ycg, Zcg, Altitude, Phi, Tht, Psi, Alpha, Beta, Latitude (Deg), Longitude (Deg), Distance AGL, Runway Radius, NOSE_LG_WOW, NOSE_LG_stroke, NOSE_LG_strokeVel, NOSE_LG_CompressForce, NOSE_LG_WhlSideForce, NOSE_LG_WhlVelVecX, NOSE_LG_WhlVelVecY, NOSE_LG_WhlRollForce, NOSE_LG_BodyXForce, NOSE_LG_BodyYForce, NOSE_LG_WhlSlipDegrees, LEFT_MLG_WOW, LEFT_MLG_stroke, LEFT_MLG_strokeVel, LEFT_MLG_CompressForce, LEFT_MLG_WhlSideForce, LEFT_MLG_WhlVelVecX, LEFT_MLG_WhlVelVecY, LEFT_MLG_WhlRollForce, LEFT_MLG_BodyXForce, LEFT_MLG_BodyYForce, LEFT_MLG_WhlSlipDegrees, RIGHT_MLG_WOW, RIGHT_MLG_stroke, RIGHT_MLG_strokeVel, RIGHT_MLG_CompressForce, RIGHT_MLG_WhlSideForce, RIGHT_MLG_WhlVelVecX, RIGHT_MLG_WhlVelVecY, RIGHT_MLG_WhlRollForce, RIGHT_MLG_BodyXForce, RIGHT_MLG_BodyYForce, RIGHT_MLG_WhlSlipDegrees, TotalGearForce_X, TotalGearForce_Y, TotalGearForce_Z, TotalGearMoment_L, TotalGearMoment_M, TotalGearMoment_N
0, 0 , 0 , 0, 0 , -0.00104667 , 0, 0, 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0, 9595.71 , 341.004 , 400691, 0 , 0 , 32.4427, 0 , 0 , 0, -0.0551325 , 0 , -0.0514119, 0 , -40172.6 , 0, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 20, 0 , 0 , 2.61799, 0, 0, 47, 122, 20, 2.09009e+07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.991667, -0.00268303 , -0.000394927 , 0.000385585, -0.458047 , 0.00390444 , 0.00197614, 7.64563e-06, 0.080217, 0.00519876 , 0.0800104 , -0.00246423, 0.00519876 , 0.0800104 , -0.00246423, 0.0590178 , 0.113142 , -0.00275419, -0.10466 , 0.107548 , 0.0480187, -0.458807, -390.311 , 308026 , 364.755, 0 , 0 , 32.4427, 0 , 7.28155e-06 , 0, -0.0551605 , 0 , -0.051438, -6.03936e+06 , 149841 , 109886, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8064, 0.000362803 , -0.000367881 , 2.61797, -0.442635, 1.49901, 47, 122, 18.8064, 2.09009e+07, 1, 0.30751, 0.0329016, -60163.4731, 0.0236971, 0.0368707, 44089.4, 1202.94, -23087.3, -37580.5, -24.4649, 1, 0.26609, -0.0266852, -171773.8112, 0.0376693, 0.0728349, 133004, -3434.54, -63530.3, -116901, -21.6993, 1, 0.27688, 0.00791745, -168428.7544, 0.0478185, 0.0669406, 125026, 3367.64, -65431.7, -106590, -23.8326, -1127.37, 307543, -400325, -6.03935e+06, 115958, 109889
1.99167, -0.00329266 , 0.000100647 , 2.61594e-05, -0.445674 , 0.000580082 , 0.000634657, 1.99354e-06, 0.0409611, -0.00646998 , 0.0404134 , 0.00164589, -0.00646998 , 0.0404134 , 0.00164589, 0.0867712 , 0.136616 , 0.00174362, -0.308766 , 0.173373 , -0.0681282, 0.220647, 590.941 , 300020 , -261.984, 0 , 0 , 32.4427, 0 , 1.02024e-05 , 0, -0.0551672 , 0 , -0.0514443, -5.87621e+06 , 22264.1 , 35296, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8062, 0.000467299 , -0.000465445 , 2.61819, 0, 0, 47, 122, 18.8062, 2.09009e+07, 1, 0.31624, -0.0064554, -59403.92576, 0.0525926, 0.0812415, 41310.8, 1187.68, -21677.2, -35186.5, -26.9564, 1, 0.26306, -0.00340925, -172642.67, 0.0535783, 0.083692, 119966, 3451.7, -62952.5, -102179, -26.9926, 1, 0.27721, 0.00944671, -168962.0022, 0.0542057, 0.0832757, 117581, 3378.11, -61696.7, -100151, -26.9245, -186.877, 299493, -400952, -5.87621e+06, 43121.2, 35299.6
2.99167, 0.000770083 , 9.09247e-05 , -0.000158256, 0.456923 , -0.00688932 , 0.000771692, 1.73683e-06, 0.038233, -0.00157929 , 0.0381929 , 0.0007568, -0.00157929 , 0.0381929 , 0.0007568, -0.124016 , -0.207984 , 0.000448891, -0.321503 , -0.395614 , -0.211627, 0.658242, -7414.36 , -302728 , 371.269, 0 , 0 , 32.4427, 0 , -1.10677e-05 , 0, -0.0550954 , 0 , -0.0513773, 6.02452e+06 , -264444 , 42904.5, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8063, -0.000244339 , -0.000398003 , 2.61802, 0, 0, 47, 122, 18.8063, 2.09009e+07, 1, 0.31049, -0.0124156, -58265.83814, -0.111499, -0.182826, -44421.3, -1165.11, 23218.7, 37888, 22.4983, 1, 0.27435, 0.0485978, -172008.1428, -0.117233, -0.197586, -131288, -3439.55, 68619.6, 111980, 22.44, 1, 0.26767, -0.0440978, -170270.2386, -0.12141, -0.195181, -130142, -3404.8, 68016.9, 111006, 22.369, -8164.92, -302981, -400319, 6.02451e+06, -245830, 42896.1
3.99167, 0.00195411 , -0.00023884 , -6.17155e-06, -0.436752 , -0.00328518 , 0.000294773, 2.48148e-05, 0.144516, -0.00214257 , -0.144499 , 0.00054722, -0.00214257 , -0.144499 , 0.00054722, 0.164451 , 0.290471 , 0.000506214, -0.618685 , 0.754371 , -0.52566, 0.849641, -7422.2 , 280976 , -89.8174, 0 , 0 , 32.4427, 0 , 1.24915e-05 , 0, -0.0551774 , 0 , -0.0514538, -5.75858e+06 , -126088 , 16363.3, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8065, 0.000307683 , -0.000415096 , 2.61787, 2.89153, -1.55549, 47, 122, 18.8065, 2.09009e+07, 1, 0.31153, 0.0182968, -60270.3034, 0.187317, 0.320935, 47427.8, 1205.1, -24762.5, -40468.2, -20.859, 1, 0.26667, -0.0879657, -163576.5665, 0.187066, 0.320357, 128478, 3270.71, -67084.5, -109621, -20.9584, 1, 0.27463, 0.0827358, -177019.326, 0.186934, 0.320454, 137862, 3539.51, -72010.3, -117613, -21.4009, -8179.81, 280529, -400779, -5.75855e+06, -41831.1, 16378.6
4.99167, -0.00874986 , -0.000348583 , -8.45158e-05, 0.279078 , 0.00532496 , -0.000338086, 0.000288154, 0.492461, 0.0110512 , 0.492336 , -0.000948733, 0.0110512 , 0.492336 , -0.000948733, -0.303425 , -0.514914 , -0.000481273, -1.98147 , -2.41842 , 0.20945, -0.105704, 8623.2 , -156321 , -896.04, 0 , 0 , 32.4427, 0 , -1.74603e-05 , 0, -0.055072 , 0 , -0.0513555, 3.67965e+06 , 204342 , -18692.2, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.806, -0.000230874 , -0.00034659 , 2.61787, -0.0856391, 1.54827, 47, 122, 18.806, 2.09009e+07, 1, 0.3061, 0.0326113, -59779.84509, -0.377599, -0.656673, -32899, 1195.44, 15417.8, 29087.2, 13.7602, 1, 0.27427, 0.162743, -189935.9306, -0.380644, -0.664592, -105127, 3798.21, 49285.8, 92935.7, 13.839, 1, 0.27004, -0.175244, -151816.6723, -0.382927, -0.663203, -83108.2, 0, 41563.1, 71968.7, 13.6874, 7893.39, -156604, -401587, 3.67954e+06, 240308, -18741.9
5.99167, -0.00966835 , 0.000126038 , -0.000814061, 0.00858336 , -0.00281813 , -0.00502715, 0.000400216, 0.580372, 0.00109172 , 0.580371 , 0.000665768, 0.00109172 , 0.580371 , 0.000665768, -0.283558 , -0.488849 , 0.000590874, -2.16621 , -2.17174 , -1.09584, 0.505877, 138.843 , 22617.3 , 142.48, 0 , 0 , 32.4427, 0 , -1.32653e-05 , 0, -0.0550867 , 0 , -0.0513692, 113170 , -108483 , -279610, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8062, 3.6623e-05 , -0.000392283 , 2.61774, 0.54762, 1.56859, 47, 122, 18.8062, 2.09009e+07, 1, 0.31011, -0.0121007, -58004.46098, -0.343589, -0.587946, -10985.7, -1160.11, 6499.87, 8932.2, 4.7348, 1, 0.26939, 0.151304, -189557.686, -0.373046, -0.663894, -25330.6, 3791.14, 9388.26, 23830.1, 3.34077, 1, 0.27299, -0.145915, -153056.0165, -0.394662, -0.651418, -14516.7, -3061.16, 9912.24, 11038.7, 2.37111, -611.246, 22231.3, -400548, 113084, -111158, -279658
6.99167, 0.0126557 , -0.00015803 , -0.000210414, 0.327106 , 9.15972e-05 , 0.000825448, 0.000355093, 0.546677, 0.00305254 , -0.546668 , -0.000690417, 0.00305254 , -0.546668 , -0.000690417, 0.186893 , 0.331019 , -0.000413253, -0.795978 , 0.977488 , 0.335316, -0.421263, -1126.41 , -247237 , -117.28, 0 , 0 , 32.4427, 0 , 4.25706e-06 , 0, -0.0551483 , 0 , -0.0514266, 4.31289e+06 , 3607.19 , 45865.7, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8063, -0.000517485 , -0.000381231 , 2.61758, -0.222435, -1.56507, 47, 122, 18.8063, 2.09009e+07, 1, 0.30885, 0.0130836, -59274.47767, 0.319226, 0.553972, -24499.6, 0, 12258.5, 21212.2, 10.3353, 1, 0.28044, -0.154146, -151358.5224, 0.31158, 0.534483, -57126.5, 3026.56, 25963.1, 50975.6, 9.43754, 1, 0.26212, 0.148881, -190113.1567, 0.306048, 0.537449, -81851.4, -3801.45, 44246.2, 68966.5, 10.7658, -1870.33, -247338, -400808, 4.31297e+06, -3321.82, 45884.8
7.99167, -0.00876389 , -7.35182e-05 , 4.04444e-05, 0.204608 , -0.00366035 , -0.000432233, 0.000255395, 0.463624, 0.00537244 , 0.463593 , -4.02953e-05, 0.00537244 , 0.463593 , -4.02953e-05, -0.278003 , -0.460292 , -8.30606e-05, -1.56203 , -1.94455 , -0.183426, 0.117429, -7421.11 , -109905 , 58.2941, 0 , 0 , 32.4427, 0 , -1.52329e-05 , 0, -0.0550808 , 0 , -0.0513637, 2.69775e+06 , -140470 , -24026.3, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.8062, -1.43608e-05 , -0.000407426 , 2.61755, -0.00750024, 1.55921, 47, 122, 18.8062, 2.09009e+07, 1, 0.31125, 0.00357282, -59263.13941, -0.362179, -0.608748, -26140.4, -1185.27, 14106.5, 22039.4, 11.0272, 1, 0.26988, 0.159058, -187709.9857, -0.360668, -0.605004, -82273.6, -3754.21, 44418.9, 69354.1, 10.9575, 1, 0.2721, -0.16042, -153708.9234, -0.359692, -0.605564, -67871.6, -3074.18, 36623.6, 57225.2, 11.039, -8175.96, -110274, -400632, 2.69765e+06, -137852, -24065.6
8.99167, 0.0121406 , 0.000210401 , 0.000497611, -0.0820229 , 0.00182664 , -0.0026673, 0.000547124, 0.678582, -0.000448145 , -0.678582 , 0.000550111, -0.000448145 , -0.678582 , 0.000550111, 0.34631 , 0.598377 , 0.000489848, -5.71361 , 3.25197 , -1.24309, 0.217566, 358.967 , 18974.6 , 76.7696, 0 , 0 , 32.4427, 0 , 1.74612e-05 , 0, -0.0551927 , 0 , -0.0514681, -1.08147e+06 , 69826.5 , -148273, 1.3185e+07, 0, -0.0043575, 0, 3.83816e+07, 0, -0.0043575, 0, 5.56127e+07, 12370.3, 1325.5 , 0 , -60.2024, 18.806, 1.18863e-05 , -0.000475928 , 2.61794, 2.2544, -1.56975, 47, 122, 18.806, 2.09009e+07, 1, 0.31743, -0.015945, -58929.02308, 0.437687, 0.764676, 12754.3, -1178.59, -5357.03, -11634.6, -5.41083, 1, 0.27166, -0.19231, -147356.834, 0.45565, 0.811125, 33125.8, -2947.16, -14012.1, -30160.7, -5.61997, 1, 0.26876, 0.199033, -194307.0099, 0.468956, 0.803448, 43801.8, 3886.09, -25268.2, -35989.2, -5.63571, -421.647, 18665.7, -400616, -1.08134e+06, 4523.66, -148203
