Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{X_{ecef}} (ft/s), V_{Y_{ecef}} (ft/s), V_{Z_{ecef}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), F_{Drag} (lbs), F_{Side} (lbs), F_{Lift} (lbs), L/D, F_{Aero x} (lbs), F_{Aero y} (lbs), F_{Aero z} (lbs), F_{Prop x} (lbs), F_{Prop y} (lbs), F_{Prop z} (lbs), F_{Gear x} (lbs), F_{Gear y} (lbs), F_{Gear z} (lbs), F_{Ext x} (lbs), F_{Ext y} (lbs), F_{Ext z} (lbs), F_{Buoyant x} (lbs), F_{Buoyant y} (lbs), F_{Buoyant z} (lbs), F_{Total x} (lbs), F_{Total y} (lbs), F_{Total z} (lbs), L_{Aero} (ft-lbs), M_{Aero} ( ft-lbs), N_{Aero} (ft-lbs), L_{Prop} (ft-lbs), M_{Prop} (ft-lbs), N_{Prop} (ft-lbs), L_{Gear} (ft-lbs), M_{Gear} (ft-lbs), N_{Gear} (ft-lbs), L_{ext} (ft-lbs), M_{ext} (ft-lbs), N_{ext} (ft-lbs), L_{Buoyant} (ft-lbs), M_{Buoyant} (ft-lbs), N_{Buoyant} (ft-lbs), L_{Total} (ft-lbs), M_{Total} (ft-lbs), N_{Total} (ft-lbs), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft)
0,  15.00000000477267,  5.004178059814236, 0.01307903123828217, -1.909066154327618e-06, -0.003424082370097846,  1.310090752080808,                 15,  5.000000000000003, 0.01308996938995748, 9.647624724e-13, 3.085588584e-10, 23889.1427226, 25473.4021052,  23889.13338027223, 0.02802218329431557,  21.12727009175844,  23889.13338027223, 0.02802218329431557,  21.12727009175844, -0.2986765481192112,   25473.4021034975, 5.304455257482132e-12, -0.2801010503612187,       23889.142721, 5.036487801248976e-12, 5.036487801248976e-12,   23889.1427226421, 1.755928735747148e-11,                 -0,                  0,                 -0, 0,                  0,                  0,                 -0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                 -0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0, 800000.00149338, 800000.00149339, 0.1499999436516369, 0.05067170621144566,  90.00006544974794, 0.050671703909321, 6.7208474332773e-05, 1.3989128005322e-19, 0.00067179505805497,           21725650,   254.734021034975, 5.304455257482132e-14,           21725650,   254.734021034975, 5.304455257482132e-14, 4.1780741322404e-05, 800000.00149339, -3.7252902984619e-09
1000,  15.00135143652958, -2.483834191470642, -4.334916661727212, -3.666878861070831e-05,  1.134776195065087, -0.6502076469913298,                 15, -2.485423659055012, -4.338536539564826, 9.647625157e-13, 3.085588723e-10, 23889.1427222, 25473.4021047,  8387.372584229031, -21464.68045076697,  6293.696392490284,  8387.372584229031, -21464.68045076697,  6293.696392490284, -23479.57419190293,  9879.464082452239, 2.044249786124767e-12, -21285.78017196258,   10844.6623954803, 2.437605672866994e-12, 2.930544695800563e-12,  23889.14272218783, -7.731633366869772e-07,                 -0,                  0,                 -0, 0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0, 800000.00068662, 800000.00068736, -27.30281092410746,   61.4854176911978,  132.6539146880412, 36.883740949848, -63.96315518013, 1.0982395013438e-14, 63.002103474288,  8425956.531119531,  20025162.28368746, 4.164349839707928e-09,   9862528.02391346,  19358057.98446364, 4.164349839707928e-09, 4.1781159129904, 800000.00068736, -7.33882188797e-07
2000,  15.00001498793936,  -2.52060378268754,  4.322933684714949, 7.476702317069808e-05, -1.131740262134597, -0.6598918685621616,                 15, -2.517804394464307,  4.319832152127374, 9.647624738e-13, 3.085588588e-10, 23889.1427212, 25473.4021038,   -16108.817093806, -13134.11005535288, -11776.76971189007,   -16108.817093806, -13134.11005535288, -11776.76971189007, -18212.58649915578, -17809.99460285653, -3.717605222924255e-12, -19325.85603414869, -14042.87821289027, -2.714273250603583e-12, -3.719691221704124e-12,  23889.14272121772, -6.035701471951427e-07,                 -0,                  0,                 -0, 0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0, 800000.00146626, 800000.00146709,  47.70607219303232,  47.59824915568094,  269.6951955971552, -143.83035806572, -33.352889473246, 8.4837753542561e-15, 126.00353514927, -15189714.65617394,  15533075.56957814, 3.216912931528367e-09, -12771101.10804037,  17575632.12161716, 3.216912931528367e-09, 8.3561900452249, 800000.00146709, -8.3446502685547e-07
3000,  15.00132106890375,  4.996231972007075, 0.0230025333429445, -0.0001120501706106095, -0.006021488752618968,  1.307895187124673,                 15,  4.999975679180051, 0.02430473801543246, 9.647624646e-13, 3.085588559e-10, 23889.142721, 25473.4021036, -20596.86569043568, -9758.071751235684,  7158.232978357029, -20596.86569043568, -9758.071751235684,  7158.232978357029,  9352.241897989828, -23694.50962173074, -4.913497190578329e-12,  3739.130639210257,  -23594.7036855195, -5.755840248866662e-12, -5.010214465528406e-12,  23889.14272100505, 3.03107623444987e-07,                 -0,                  0,                 -0, 0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0, 800000.00163621, 800000.00163774, -10.92062518400086, -23.31606215497029,  249.8603990930091, 160.83562005151, -24.108952224827, -4.4150756122794e-15, -170.99503317901, -20208475.52715971, -7976301.452539413, -1.674126581369577e-09, -21457876.49860787, -3400500.575516451, -1.674126581369577e-09, 12.534264177403, 800000.00163774, -1.5273690223694e-06
4000,  15.00006038315522, -2.476112144238193,  -4.34827234983134, 0.0001479866932071814,  1.138370460972119,  -0.64824203438603,                 15, -2.475695058188607,  -4.34411558467604, 9.647624995e-13, 3.085588671e-10, 23889.1427218, 25473.4021044, -2148.092105822353, -23676.57586372038,   2344.48195930189, -2148.092105822353, -23676.57586372038,   2344.48195930189,   25467.0327030261, -569.6139697199179, -8.641255105328429e-14,  22720.74911305866, -7379.613792370088, 3.26405569239796e-14, 1.474376176702208e-13,  23889.14272181183, 8.418952133285029e-07,                 -0,                  0,                 -0, 0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0, 800000.0009879, 800000.00099007, -75.17662654904166,  -84.7746486803271,  260.8691446324354, 132.49694712162, -82.350946786089, -1.1882562546032e-14, -107.99360150572, -485810.0111396556, -21720217.69224475, -4.505679077653493e-09,  -6711287.56188083, -20663070.61467799, -4.505679077653493e-09, 16.712338309671, 800000.00099007, -2.1718442440033e-06
5000,  15.00126117525568, -2.523979501504252,  4.312318541526871, -0.0001822666755301599, -1.128867391697868, -0.6607206539252856,                 15, -2.527496084857206,  4.314189205032339, 9.647625359e-13, 3.085588787e-10, 23889.1427227, 25473.4021052,  21525.57763375818, -9681.823335953846, -3688.216974065959,  21525.57763375818, -9681.823335953846, -3688.216974065959,  10402.29617969278,  23252.66541714887, 4.850474358141274e-12,  16889.86613472804,  16894.48318162843, 4.835132294545019e-12, 5.039857420285898e-12,  23889.14272265455, 3.534466113119805e-07,                 -0,                  0,                 -0, 0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0, 800000.00031139, 800000.00031391,  22.05539649918599, -18.14382197792923,  108.5208591491551, -9.7227119470784, -23.908757402684, -4.767161920732e-15, -44.992169827856,  19831637.26377802, -8871867.411879044, -1.807632119936293e-09,  15364453.75190056, -15360254.84299461, -1.807632119936293e-09, 20.890412442008, 800000.00031391, -2.5145709514618e-06
6000,  15.00013407937843,  5.003285458813051, 0.03800011309586736, 0.0002143937799966038, -0.009948323224807451,  1.309845369641272,                 15,  4.999926204141356, 0.03551944096407012, 9.647625294e-13, 3.085588766e-10, 23889.1427225, 25473.402105,  18954.68853289049, -9119.355967276584,  11324.67524388117,  18954.68853289049, -9119.355967276584,  11324.67524388117, -17398.06925773326,  18606.48814010376, 3.830541804971325e-12, -7385.823656865444,  22718.73123494918, 2.228439655027614e-12, 2.787992059438693e-12,  23889.14272250406, -5.671452996125481e-07,                 -0,                  0,                 -0, 0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0, 800000.00043254, 800000.00043477,  -35.0361533030827,  37.43038997103947,  92.31609168761716, 30.856643982896, -22.441282438318, 8.2038059500023e-15, 18.009261851954,  15869024.77313022,  14838393.46732232, 3.110752977896404e-09,  20661235.48232768,  6716935.036539968, 3.110752977896404e-09, 25.068486574345, 800000.00043477, -2.2351741790771e-06
7000,  15.00117453014365,  -2.46697047774903, -4.345794229725141, -0.0002441025251410364,  1.137637103081184, -0.6458008101723884,                 15, -2.465953934017041, -4.349672814678072, 9.647624879e-13, 3.085588633e-10, 23889.1427215, 25473.4021041, -10392.28544358883, -21369.84637275064, -2453.815240450907, -10392.28544358883, -21369.84637275064, -2453.815240450907,  -23897.8150958348, -8819.787321920548, -1.883750531806658e-12, -23595.72480124871,  3732.681485741559, -3.01203506580805e-12, -3.33333360913457e-12,  23889.14272154322, -7.965468652448848e-07,                 -0,                  0,                 -0, 0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0, 800000.00120442, 800000.00120663,  46.38063560274501,  58.80526089703343,   237.128819888031, -166.71470959365, -63.449687716203, 1.1116868182213e-14, 81.010693528686, -7522183.792885888,  20381869.85928618, 4.215339930598876e-09,  3394635.481622892,  21458805.13732627, 4.215339930598876e-09, 29.246560706636, 800000.00120663, -2.2128224372864e-06
8000,  15.00023267116429, -2.541264269225781,   4.30934979799342, 0.000270949715447537, -1.128167642535121, -0.6652911267607777,                 15, -2.537175128188881,  4.308524514306352, 9.647624619e-13, 3.085588551e-10, 23889.1427209, 25473.4021036, -23512.12477382859,  -2080.54550994099, -3680.008008496232, -23512.12477382859,  -2080.54550994099, -3680.008008496232,  -1139.24146145193, -25447.91432755097, -5.291822975506818e-12, -14037.59545537354, -19329.69357679765, -5.089761945242799e-12, -5.089761945242799e-12,  23889.14272094368, -5.389302448755018e-08,                 -0,                  0,                 -0, 0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0, 800000.00168597, 800000.00168848,  10.86582246754108,  9.669767233440023,  266.7615669585829, -171.10450136912, -4.9963153118836, 3.9058099527177e-16, 144.0121252013, -21703912.09252568,  971631.5534579153, 1.481021128030393e-10, -17579122.12236313,  12766296.77717076, 1.481021128030393e-10, 33.424634838655, 800000.00168848, -2.5108456611633e-06
9000,  15.00106513006168,  4.997666147043808, 0.0433361469934118, -0.0002947310985285949, -0.01134450796532639,  1.308292990347134,                 15,  4.999851575073119, 0.04673404424537399, 9.647624833e-13, 3.085588619e-10, 23889.1427214, 25473.402104, -6890.591866754924, -20160.15077595606,  10806.44272560433, -6890.591866754924, -20160.15077595606,  10806.44272560433,  23014.11619391236,  -10919.9208132055, -2.197220376393704e-12,  10850.47991802289, -21282.81526287862, -4.615863247181551e-12, -4.668265773943858e-12,  23889.14272143806, 7.553032845830643e-07,                 -0,                  0,                 -0, 0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0,                  0, 800000.0012891, 800000.00129237, -18.04717772874565, -67.35917987231539,  228.5286680468899, 122.52310716051, -57.554732323324, -1.0800684537607e-14, -152.98644312638, -9313336.973030057, -19628184.38891647, -4.0954481121041e-09, -19355361.59009617, -9867818.689819092, -4.0954481121041e-09, 37.602708970673, 800000.00129237, -3.2670795917511e-06
